task,task_type,split,metric,model,reference,model_mean,reference_mean,n_pairs,mean_diff,diff_ci95_low,diff_ci95_high,t_stat,t_p,wilcoxon_stat,wilcoxon_p,reference_better,t_p_holm,wilcoxon_p_holm,significant_t,significant_wilcoxon,significant_t_holm,significant_wilcoxon_holm
estrogen-alpha,clf,random,f1,mat_large_pretrained,mat,0.871916706743691,0.8850104731918484,5,-0.013093766448157518,-0.04926370659341095,0.023076173697095914,-1.0050921737110157,0.37172033100836543,4.0,0.4375,True,0.37172033100836543,0.4375,False,False,False,False
estrogen-alpha,clf,random,f1,mat_large_scratch,mat,0.859401403215068,0.8850104731918484,5,-0.02560906997678052,-0.0458223412789652,-0.005395798674595834,-3.517598706450615,0.024503108675138,0.0,0.0625,True,0.049006217350276,0.125,True,False,True,False
esol,reg,random,rmse,mat_large_pretrained,mat,0.5307556044361909,0.3763617875496533,5,0.15439381688653755,0.09083725138996936,0.21795038238310577,6.744636904437177,0.002518877742664523,0.0,0.0625,True,0.005037755485329046,0.125,True,False,True,False
esol,reg,random,rmse,mat_large_scratch,mat,0.5838451680229703,0.3763617875496533,5,0.20748338047331702,0.015322676539352015,0.39964408440728205,2.9978356882112362,0.04002732035176258,0.0,0.0625,True,0.04002732035176258,0.125,True,False,True,False
esol,reg,random,mae,mat_large_pretrained,mat,0.4140053870173112,0.29062680065811447,5,0.12337858635919681,0.07090192400438422,0.1758552487140094,6.527737413387545,0.00284468843943387,0.0,0.0625,True,0.00568937687886774,0.125,True,False,True,False
esol,reg,random,mae,mat_large_scratch,mat,0.4508330666591651,0.29062680065811447,5,0.16020626600105067,-0.004888451477463834,0.32530098347956515,2.694234617885461,0.0544185147191336,0.0,0.0625,True,0.0544185147191336,0.125,False,False,False,False
esol,reg,random,r2,mat_large_pretrained,mat,0.6922349475796019,0.8461817482516395,5,-0.15394680067203748,-0.2196301925366951,-0.08826340880737985,-6.5073503217900175,0.002877911793332571,0.0,0.0625,True,0.005755823586665142,0.125,True,False,True,False
esol,reg,random,r2,mat_large_scratch,mat,0.6126170334852873,0.8461817482516395,5,-0.2335647147663522,-0.4992268042785588,0.03209737474585439,-2.4409941601026306,0.0711321331329178,0.0,0.0625,True,0.0711321331329178,0.125,False,False,False,False
bbbp,clf,scaffold,roc_auc,mat_large_pretrained,mat,0.8954648621484264,0.8992083931770747,5,-0.003743531028648506,-0.028149970203865827,0.020662908146568817,-0.4258592712369593,0.69212520512606,5.0,0.625,True,0.69212520512606,0.625,False,False,False,False
bbbp,clf,scaffold,roc_auc,mat_large_scratch,mat,0.8824551335110093,0.8992083931770747,5,-0.0167532596660654,-0.056254276437107134,0.022747757104976337,-1.1775521137991276,0.3042538256061506,3.0,0.3125,True,0.6085076512123012,0.625,False,False,False,False
bbbp,clf,scaffold,pr_auc,mat_large_pretrained,mat,0.9599815479572195,0.9579242263797779,5,0.002057321577441673,-0.012448993697283252,0.016563636852166597,0.3937623245689495,0.713844913345733,7.0,1.0,False,0.713844913345733,1.0,False,False,False,False
bbbp,clf,scaffold,pr_auc,mat_large_scratch,mat,0.9492827336809565,0.9579242263797779,5,-0.008641492698821284,-0.02442895761829074,0.007145972220648172,-1.519726582299899,0.20320899405447262,2.0,0.1875,True,0.40641798810894525,0.375,False,False,False,False
bbbp,clf,scaffold,f1,mat_large_pretrained,mat,0.9131368605081109,0.9300574926849796,5,-0.01692063217686861,-0.03690297949456768,0.0030617151408304545,-2.351035423286237,0.07842659477688346,1.0,0.125,True,0.07842659477688346,0.125,False,False,False,False
bbbp,clf,scaffold,f1,mat_large_scratch,mat,0.9009846717987472,0.9300574926849796,5,-0.02907282088623233,-0.054124769279587204,-0.004020872492877459,-3.222068398691223,0.03221715207108491,0.0,0.0625,True,0.06443430414216982,0.125,True,False,False,False
esol,reg,scaffold,rmse,mat_large_pretrained,mat,0.7552148372192414,0.6500470276284627,5,0.1051678095907788,-0.20924484338535165,0.4195804625669093,0.9286924282428904,0.40561616778395515,4.0,0.4375,True,0.8112323355679103,0.875,False,False,False,False
esol,reg,scaffold,rmse,mat_large_scratch,mat,0.6069480990995396,0.6500470276284627,5,-0.04309892852892296,-0.18176225461866966,0.09556439756082372,-0.8629665285538408,0.43682595267753827,5.0,0.625,False,0.8112323355679103,0.875,False,False,False,False
esol,reg,scaffold,mae,mat_large_pretrained,mat,0.6684108837496622,0.5337539979374486,5,0.13465688581221363,-0.176883877737062,0.44619764936148926,1.2000594953776114,0.2963307070052152,4.0,0.4375,True,0.5926614140104304,0.875,False,False,False,False
esol,reg,scaffold,mae,mat_large_scratch,mat,0.5229328094948481,0.5337539979374486,5,-0.010821188442600427,-0.15832536761365024,0.13668299072844936,-0.20368531829217268,0.8485421704980303,6.0,0.8125,False,0.8485421704980303,0.875,False,False,False,False
